Bin,Voltage[V],Current[A],Limit,Ihlal,Band
394,178.67308490404437,0.30341809971138306,160.0,False,25us
395,182.2951080293265,0.29027404915388627,160.0,False,25us
396,172.53801996953837,0.24761006508092015,160.0,False,25us
397,175.45111235215083,0.19746635344311494,160.0,False,25us
398,164.03719733872583,0.12214397377528997,160.0,False,25us
399,80.8552807123719,0.043460146391925025,160.0,False,25us
400,38.57606863195327,0.029023600086850437,155.21055966442913,False,25us
401,143.9729082746734,0.08497447038029282,160.0,False,25us
402,172.40959323272094,0.17484867067097773,160.0,False,25us
403,183.71060632424172,0.24195234815996863,160.0,False,25us
404,162.6807126295258,0.2584481825180212,160.0,False,25us
405,176.0788738154108,0.30292304292462324,160.0,False,25us
406,174.32278978695368,0.3737519672888818,160.0,False,25us
407,175.77589419130618,0.381768211317837,160.0,False,25us
408,170.16196732083247,0.4280855144146487,160.0,False,25us
409,171.7142964477519,0.4332279730000887,160.0,False,25us
410,176.08583860866577,0.43914607102559855,160.0,False,25us
411,171.00737800515012,0.5346226913962163,160.0,False,25us
412,153.1985577769673,0.616529186772344,160.0,False,25us
413,200.8128201394297,0.5609568707343283,160.0,False,25us
414,161.77934689861473,0.7106539812909091,160.0,False,25us
415,182.52860994174733,0.5537348604343598,160.0,False,25us
416,169.11063655754845,0.7837611856945813,160.0,False,25us
417,183.51036349074312,0.5871846904945737,160.0,False,25us
418,152.75447703495266,0.7602172540705681,160.0,False,25us
419,199.70230926373893,0.6191332344381519,160.0,False,25us
420,171.67329340766753,0.6858384733395873,160.0,False,25us
421,184.87052104116304,0.6795776776826666,160.0,False,25us
422,178.38593828364256,0.6202132319745097,160.0,False,25us
423,174.9409299624691,0.5720108910575843,160.0,False,25us
424,172.95434047291712,0.5511092556825242,160.0,False,25us
425,175.49235244236732,0.488765770696615,160.0,False,25us
426,172.29901649579526,0.38857290433981834,160.0,False,25us
427,181.19616629600515,0.3581273079156355,160.0,False,25us
428,183.2704862934204,0.3287073280692943,160.0,False,25us
429,194.61812574677197,0.2974442747163853,160.0,False,25us
430,146.3927788285266,0.2009373345200858,160.0,False,25us
431,182.12389038499163,0.17578326272764017,160.0,False,25us
432,115.2695655356331,0.06387711064218903,160.0,False,25us
433,20.559858270267465,0.034134469062021375,106.30312435602465,False,25us
434,118.61248792730171,0.053737328346646206,160.0,False,25us
435,178.67204224810104,0.1822879959818627,160.0,False,25us
436,155.08434685022695,0.19077271403855917,160.0,False,25us
437,173.76507500495597,0.3292089033213195,160.0,False,25us
438,175.133083364283,0.26350605216045053,160.0,False,25us
439,167.2173533461473,0.5038571726293924,160.0,False,25us
440,176.12205157556352,0.4415285889382911,160.0,False,25us
441,154.42011598062825,0.6613774255335414,160.0,False,25us
442,174.53101721097676,0.5764493897035882,160.0,False,25us
443,166.2332624189477,0.8115818493464052,160.0,False,25us
444,175.2269062705458,0.7091270191311216,160.0,False,25us
445,156.82324858691192,1.023549068,160.0,False,25us
446,181.90647966195468,0.8271025310016978,160.0,False,25us
447,164.55408537111876,1.0851256149097475,160.0,False,25us
448,167.61488264852932,0.8837711154576272,160.0,False,25us
449,163.3121951103655,1.1461885973197492,160.0,False,25us
450,174.69305589497458,0.9510383971694915,160.0,False,25us
451,167.98450550771534,1.176930321451876,160.0,False,25us
452,168.92503264957742,0.9159306979482759,160.0,False,25us
453,153.71960875285293,1.0872612511260504,160.0,False,25us
454,168.49930343160727,0.8477755533117932,160.0,False,25us
455,153.65300354104926,1.0611562539674797,160.0,False,25us
456,176.13223639435688,0.783527522796875,160.0,False,25us
457,161.71630702166374,0.9250450301300812,160.0,False,25us
458,181.26078073461758,0.6292772200319489,160.0,False,25us
